[i] Train : 134472
[i] Valid : 14942
[i] restored LSEP Loss (Inception_ResNet_v2)
[i] max_iteration : 210100
[i] decay_iteration : [105050 157575]
[i] iter : 4950, loss : 11.1381, lsep_loss : 5.7461, topk_loss : 2.1135, conf_loss : 1.9801, l2_reg_loss : 1.2984, train_time : 29sec
[i] iter : 5000, loss : 11.1189, lsep_loss : 5.7559, topk_loss : 2.0760, conf_loss : 1.9882, l2_reg_loss : 1.2989, train_time : 29sec
[i] iter : 5050, loss : 11.1949, lsep_loss : 5.7790, topk_loss : 2.0856, conf_loss : 2.0309, l2_reg_loss : 1.2993, train_time : 29sec
[i] iter : 5100, loss : 11.1478, lsep_loss : 5.7791, topk_loss : 2.0783, conf_loss : 1.9906, l2_reg_loss : 1.2998, train_time : 29sec
[i] iter : 5150, loss : 11.1977, lsep_loss : 5.7934, topk_loss : 2.1067, conf_loss : 1.9972, l2_reg_loss : 1.3003, train_time : 30sec
[i] iter : 5200, loss : 11.1785, lsep_loss : 5.7475, topk_loss : 2.1192, conf_loss : 2.0110, l2_reg_loss : 1.3008, train_time : 29sec
[i] iter : 5250, loss : 11.2462, lsep_loss : 5.8073, topk_loss : 2.1071, conf_loss : 2.0306, l2_reg_loss : 1.3013, train_time : 29sec
[i] iter : 5300, loss : 11.3565, lsep_loss : 5.8802, topk_loss : 2.0884, conf_loss : 2.0861, l2_reg_loss : 1.3018, train_time : 29sec
[i] iter : 5350, loss : 11.0610, lsep_loss : 5.7393, topk_loss : 2.1137, conf_loss : 1.9056, l2_reg_loss : 1.3023, train_time : 29sec
[i] iter : 5400, loss : 11.0431, lsep_loss : 5.7302, topk_loss : 2.0913, conf_loss : 1.9189, l2_reg_loss : 1.3027, train_time : 29sec
[i] iter : 5450, loss : 11.1333, lsep_loss : 5.7633, topk_loss : 2.1130, conf_loss : 1.9537, l2_reg_loss : 1.3032, train_time : 29sec
[i] iter : 5500, loss : 11.2230, lsep_loss : 5.8123, topk_loss : 2.1174, conf_loss : 1.9896, l2_reg_loss : 1.3037, train_time : 29sec
[i] iter : 5550, loss : 11.2241, lsep_loss : 5.8016, topk_loss : 2.0958, conf_loss : 2.0225, l2_reg_loss : 1.3042, train_time : 29sec
[i] iter : 5600, loss : 11.1501, lsep_loss : 5.7786, topk_loss : 2.0924, conf_loss : 1.9744, l2_reg_loss : 1.3048, train_time : 29sec
[i] iter : 5650, loss : 11.2056, lsep_loss : 5.8122, topk_loss : 2.1047, conf_loss : 1.9834, l2_reg_loss : 1.3053, train_time : 29sec
[i] iter : 5700, loss : 11.3649, lsep_loss : 5.9277, topk_loss : 2.1270, conf_loss : 2.0043, l2_reg_loss : 1.3059, train_time : 29sec
[i] iter : 5750, loss : 11.0500, lsep_loss : 5.6936, topk_loss : 2.1012, conf_loss : 1.9488, l2_reg_loss : 1.3064, train_time : 29sec
[i] iter : 5800, loss : 11.1361, lsep_loss : 5.7773, topk_loss : 2.0988, conf_loss : 1.9530, l2_reg_loss : 1.3069, train_time : 29sec
[i] iter : 5850, loss : 11.2243, lsep_loss : 5.8228, topk_loss : 2.1026, conf_loss : 1.9915, l2_reg_loss : 1.3074, train_time : 30sec
[i] iter : 5900, loss : 11.0176, lsep_loss : 5.6802, topk_loss : 2.0828, conf_loss : 1.9467, l2_reg_loss : 1.3079, train_time : 30sec
[i] iter : 5950, loss : 11.0741, lsep_loss : 5.6915, topk_loss : 2.0965, conf_loss : 1.9777, l2_reg_loss : 1.3084, train_time : 29sec
[i] iter : 6000, loss : 11.1901, lsep_loss : 5.8212, topk_loss : 2.0929, conf_loss : 1.9671, l2_reg_loss : 1.3089, train_time : 29sec
[i] iter : 6050, loss : 11.1614, lsep_loss : 5.7822, topk_loss : 2.0903, conf_loss : 1.9796, l2_reg_loss : 1.3094, train_time : 29sec
[i] iter : 6100, loss : 11.2300, lsep_loss : 5.8448, topk_loss : 2.0903, conf_loss : 1.9850, l2_reg_loss : 1.3099, train_time : 29sec
[i] iter : 6150, loss : 11.2587, lsep_loss : 5.8693, topk_loss : 2.1053, conf_loss : 1.9738, l2_reg_loss : 1.3103, train_time : 29sec
[i] iter : 6200, loss : 11.0196, lsep_loss : 5.6805, topk_loss : 2.1026, conf_loss : 1.9257, l2_reg_loss : 1.3109, train_time : 30sec
[i] iter : 6250, loss : 11.3292, lsep_loss : 5.9346, topk_loss : 2.0822, conf_loss : 2.0012, l2_reg_loss : 1.3113, train_time : 30sec
[i] iter : 6300, loss : 11.0789, lsep_loss : 5.7155, topk_loss : 2.1037, conf_loss : 1.9480, l2_reg_loss : 1.3118, train_time : 29sec
[i] iter : 6350, loss : 11.1437, lsep_loss : 5.7840, topk_loss : 2.0867, conf_loss : 1.9608, l2_reg_loss : 1.3123, train_time : 29sec
[i] iter : 6400, loss : 11.0006, lsep_loss : 5.6698, topk_loss : 2.0652, conf_loss : 1.9529, l2_reg_loss : 1.3128, train_time : 29sec
[i] iter : 6450, loss : 11.1045, lsep_loss : 5.7616, topk_loss : 2.0724, conf_loss : 1.9573, l2_reg_loss : 1.3133, train_time : 29sec
[i] iter : 6500, loss : 11.1984, lsep_loss : 5.8320, topk_loss : 2.0824, conf_loss : 1.9703, l2_reg_loss : 1.3137, train_time : 29sec
[i] iter : 6550, loss : 11.2276, lsep_loss : 5.8169, topk_loss : 2.0848, conf_loss : 2.0117, l2_reg_loss : 1.3143, train_time : 29sec
[i] iter : 6600, loss : 11.0542, lsep_loss : 5.7498, topk_loss : 2.0709, conf_loss : 1.9187, l2_reg_loss : 1.3148, train_time : 29sec
[i] iter : 6650, loss : 10.9970, lsep_loss : 5.6756, topk_loss : 2.0883, conf_loss : 1.9178, l2_reg_loss : 1.3152, train_time : 29sec
[i] iter : 6700, loss : 11.0997, lsep_loss : 5.7506, topk_loss : 2.0892, conf_loss : 1.9441, l2_reg_loss : 1.3157, train_time : 29sec
[i] iter : 6750, loss : 11.1478, lsep_loss : 5.7932, topk_loss : 2.0676, conf_loss : 1.9708, l2_reg_loss : 1.3162, train_time : 29sec
[i] iter : 6800, loss : 11.2214, lsep_loss : 5.7944, topk_loss : 2.0932, conf_loss : 2.0171, l2_reg_loss : 1.3168, train_time : 29sec
[i] iter : 6850, loss : 11.2186, lsep_loss : 5.8475, topk_loss : 2.0877, conf_loss : 1.9661, l2_reg_loss : 1.3172, train_time : 29sec
[i] iter : 6900, loss : 11.2712, lsep_loss : 5.8779, topk_loss : 2.0731, conf_loss : 2.0024, l2_reg_loss : 1.3178, train_time : 29sec
[i] iter : 6950, loss : 11.2122, lsep_loss : 5.8264, topk_loss : 2.0846, conf_loss : 1.9830, l2_reg_loss : 1.3183, train_time : 29sec
[i] iter : 7000, loss : 11.1621, lsep_loss : 5.8105, topk_loss : 2.0854, conf_loss : 1.9475, l2_reg_loss : 1.3187, train_time : 29sec
[i] iter : 7050, loss : 11.1675, lsep_loss : 5.8278, topk_loss : 2.0945, conf_loss : 1.9260, l2_reg_loss : 1.3192, train_time : 29sec
[i] iter : 7100, loss : 11.0428, lsep_loss : 5.7254, topk_loss : 2.0878, conf_loss : 1.9099, l2_reg_loss : 1.3197, train_time : 29sec
[i] iter : 7150, loss : 11.3659, lsep_loss : 5.9462, topk_loss : 2.0423, conf_loss : 2.0573, l2_reg_loss : 1.3201, train_time : 29sec
[i] iter : 7200, loss : 11.0482, lsep_loss : 5.7226, topk_loss : 2.1101, conf_loss : 1.8949, l2_reg_loss : 1.3206, train_time : 29sec
[i] iter : 7250, loss : 11.0462, lsep_loss : 5.7264, topk_loss : 2.0780, conf_loss : 1.9206, l2_reg_loss : 1.3211, train_time : 29sec
[i] iter : 7300, loss : 11.1144, lsep_loss : 5.7559, topk_loss : 2.0801, conf_loss : 1.9568, l2_reg_loss : 1.3216, train_time : 29sec
[i] iter : 7350, loss : 11.0356, lsep_loss : 5.6836, topk_loss : 2.1021, conf_loss : 1.9278, l2_reg_loss : 1.3221, train_time : 29sec
[i] iter : 7400, loss : 11.3152, lsep_loss : 5.9209, topk_loss : 2.0829, conf_loss : 1.9888, l2_reg_loss : 1.3227, train_time : 29sec
[i] iter : 7450, loss : 11.2257, lsep_loss : 5.8450, topk_loss : 2.0897, conf_loss : 1.9680, l2_reg_loss : 1.3231, train_time : 29sec
[i] iter : 7500, loss : 11.1110, lsep_loss : 5.7520, topk_loss : 2.0839, conf_loss : 1.9515, l2_reg_loss : 1.3236, train_time : 29sec
[i] iter : 7550, loss : 11.1125, lsep_loss : 5.7714, topk_loss : 2.0806, conf_loss : 1.9364, l2_reg_loss : 1.3241, train_time : 29sec
[i] iter : 7600, loss : 11.3621, lsep_loss : 5.9235, topk_loss : 2.0471, conf_loss : 2.0668, l2_reg_loss : 1.3246, train_time : 29sec
[i] iter : 7650, loss : 11.3892, lsep_loss : 5.9294, topk_loss : 2.0660, conf_loss : 2.0686, l2_reg_loss : 1.3252, train_time : 29sec
[i] iter : 7700, loss : 11.1270, lsep_loss : 5.7672, topk_loss : 2.0817, conf_loss : 1.9524, l2_reg_loss : 1.3256, train_time : 29sec
[i] iter : 7750, loss : 10.9649, lsep_loss : 5.6809, topk_loss : 2.0920, conf_loss : 1.8659, l2_reg_loss : 1.3261, train_time : 29sec
[i] iter : 7800, loss : 11.1269, lsep_loss : 5.7741, topk_loss : 2.0659, conf_loss : 1.9602, l2_reg_loss : 1.3267, train_time : 29sec
[i] iter : 7850, loss : 11.0099, lsep_loss : 5.7015, topk_loss : 2.0666, conf_loss : 1.9147, l2_reg_loss : 1.3272, train_time : 29sec
[i] iter : 7900, loss : 11.1086, lsep_loss : 5.8123, topk_loss : 2.0864, conf_loss : 1.8822, l2_reg_loss : 1.3276, train_time : 29sec
[i] iter : 7950, loss : 11.0343, lsep_loss : 5.7346, topk_loss : 2.0652, conf_loss : 1.9064, l2_reg_loss : 1.3281, train_time : 29sec
[i] iter : 8000, loss : 11.2049, lsep_loss : 5.8400, topk_loss : 2.0587, conf_loss : 1.9777, l2_reg_loss : 1.3286, train_time : 29sec
[i] iter : 8050, loss : 11.1736, lsep_loss : 5.8446, topk_loss : 2.0607, conf_loss : 1.9392, l2_reg_loss : 1.3291, train_time : 29sec
[i] iter : 8100, loss : 11.1334, lsep_loss : 5.7595, topk_loss : 2.0952, conf_loss : 1.9490, l2_reg_loss : 1.3296, train_time : 29sec
[i] iter : 8150, loss : 11.0550, lsep_loss : 5.7402, topk_loss : 2.0782, conf_loss : 1.9064, l2_reg_loss : 1.3301, train_time : 29sec
[i] iter : 8200, loss : 10.9974, lsep_loss : 5.7113, topk_loss : 2.0608, conf_loss : 1.8948, l2_reg_loss : 1.3305, train_time : 29sec
[i] iter : 8250, loss : 11.3011, lsep_loss : 5.9126, topk_loss : 2.0989, conf_loss : 1.9585, l2_reg_loss : 1.3310, train_time : 29sec
[i] iter : 8300, loss : 10.8816, lsep_loss : 5.6368, topk_loss : 2.0639, conf_loss : 1.8494, l2_reg_loss : 1.3315, train_time : 29sec
[i] iter : 8350, loss : 11.1135, lsep_loss : 5.7896, topk_loss : 2.0836, conf_loss : 1.9083, l2_reg_loss : 1.3320, train_time : 29sec
[i] iter : 8400, loss : 10.9422, lsep_loss : 5.6532, topk_loss : 2.0658, conf_loss : 1.8906, l2_reg_loss : 1.3326, train_time : 29sec
[i] iter : 8450, loss : 10.9554, lsep_loss : 5.6625, topk_loss : 2.0626, conf_loss : 1.8973, l2_reg_loss : 1.3330, train_time : 29sec
